Bedfordshire,TFP,Theft from person,BFD20250127,40/4756/25,20250125082000,20250125082000,508910,222123,,,,PJ Test
Bedfordshire,TFP,Theft of motor vehicle,BFD20250127,40/4774/25,20250125220000,20250126105500,500855,221599,,,,PJ Test
Bedfordshire,TFMV,Theft from motor vehicle,BFD20250127,40/4752/25,20250126030000,20250126074400,507734,224661,,,,PJ Test
Bedfordshire,BOTD,Burglary in a building other than a dwelling,BFD20250127,40/4804/25,20250125182000,20250125182000,497542,226710,,,,PJ Test
Bedfordshire,TFMV,Theft from motor vehicle,BFD20250127,40/4767/25,20250123070000,20250123190000,510565,220435,,,,PJ Test
Bedfordshire,TFMV,Theft from House,BFD20250127,40/4808/25,20250126000100,20250126000100,504181,248080,,,,PJ Test
Bedfordshire,TFMV,Theft from motor vehicle,BFD20250127,40/4770/25,20240124163000,20240124163200,511174,224352,,,,PJ Test
Bedfordshire,TOMV,Theft of motor vehicle,BFD20250127,40/4730/25,20250125180000,20250126023000,508533,225870,,,,PJ Test
Bedfordshire,BIAD,Burglary in a dwelling,BFD20250127,40/4799/25,20250125210000,20250126090000,504470,248967,,,,PJ Test
Bedfordshire,TFP,Theft from person,BFD20250127,40/4736/25,20250125235800,20250125235800,503438,237740,,,,PJ Test
Bedfordshire,BIAD,Burglary in a dwelling,BFD20250127,40/4816/25,20250126040100,20250126153000,509170,220738,,,,PJ Test
Bedfordshire,TFMV,Theft from motor vehicle,BFD20250127,40/4741/25,,20250126014400,509344,220947,,,,PJ Test
Bedfordshire,BIAD,Burglary in a dwelling,BFD20250127,40/4797/25,20250126003000,20250126073000,505303,251422,,,,PJ Test
Bedfordshire,TFMV,Theft from motor vehicle,BFD20250127,40/4754/25,20250125003000,20250125010000,507758,224021,,,,PJ Test
Bedfordshire,RB,Robbery,BFD20250127,40/4724/25,20250125205000,20250125210000,509594,220953,,,,PJ Test
Bedfordshire,TFMV,Theft from motor vehicle,BFD20250127,40/4866/25,20250126130000,20250126150000,502419,246385,,,,PJ Test
Bedfordshire,RB,Robbery,BFD20250127,40/4720/25,20250125191000,20250125191000,500928,224409,,,,PJ Test
Bedfordshire,TFMV,Theft from motor vehicle,BFD20250127,40/4782/25,20250124223000,20250124224000,503391,217805,,,,PJ Test
